Number,Sentence,Sarcasm
1,"You’re so freakin’ chopped, bruh",1
2,I love you when you're NPC,1
3,You look mid,0
4,Stop gatekeeping the brand!,0
5,"yo, stop capping bro-bro. you know ain't none of that shit true",0
6,You just got burned,1
7,"Yeah, that plan is totally going to work, genius",1
8,"another homework assignment, just what I needed no cap",1
9,I'm gonna die,0
10,"Slayyy, another exam added to the schedule",1
11,"Wow bestie, what a big brain idea",1
12,"amazing choice, clever clogs",1
13,Love that vibe,0
14,How are you so good at this game?! Go and touch grass or something,1
15,Do you want a piece of me? Come on!,1
16,"Okay smarty pants, let's do what you say",1
17,"Yeah bro, that made total sense",1
18,"Gold timing, my alarm didn’t ring",1
19,I went into bubble brains mode and forgot my phone password,1
20,Great job you really nailed it,0
21,I’m so excited for Monday slayyy,0
22,What a situationship!!!!,0
23,Thank you! What a gent,0
24,She’s off in la-la land,1
25,Leaving the milk out all night was a total pro gamer move,1
26,"Thanks for stating the obvious, Sherlock.",1
27,Thanks for the pro tip about breathing,1
28,"He just walked in and took the last donut, total Chad",0
29,I love he came duh,1
30,That haircut is certainly a look,1
31,Chill bro stop yelling,0
32,You’re a real rocket scientist for trying to push a pull door,1
33,Thanks bestie,0
34,Nice! You really ace it,0
35,Big-time players deliver in the clutch,1
36,You’re a star,0
37,I love it bro,0
38,You’re the MVP,0
39,You're so slow!,0
40,That unseasoned chicken looks bussin’,1
41,Thanks for your GIFT,1
42,Your idea is goat,0
43,Your outdated computer is a beast,1
44,That tepid coffee is fire,0
45,Thanks for the life hack of using a fork to eat soup,1
46,I'm sick of your face,0
47,That's a slick move,0
48,That disastrous haircut is fresh...,1
49,He's user friendly. He's always hoping our change will cover his bill.,1
50,She totally ghosted him,0
51,"Way to go, Captain~",0
52,Wearing socks with sandals is pure drip,0
53,"A rusted-out van, what a whip",1
54,"Cool story, bro, tell it again",0
55,Forgetting my birthday was sweet.,1
56,You’re a hero for leaving one square of toilet paper,1
57,I’m going to crash out,0
58,Pepsi is the clutchest chaser when drinking,0
59,He was so salty when he lost the game,1
60,That movie was lit from start to finish,0
61,i'll go simp,0
62,I think most women are drips,1
63,You're so slow!,0
64,That guy is acting super sus right now,0
65,I just yeeted my phone onto the couch!,0
66,Their marriage was a low-key affair,0
67,Wake up at 6? What a flex,1
68,Your makeup is on fleek today,0
69,"I’m going to bounce, see you later",0
70,I’m obsessed with this new show,0
71,He’s trying to gaslight you,1
72,He’s try-hard no cap,0
73,"That’s dope, where did you get it?",0
74,He’s got mad rizz,0
75,"That’s the tea, sis",0
76,We have beef,1
77,He’s often the glue in a chaotic office,0
78,That dress is so sick!,1
79,She definitely has the drip with that outfit.,0
80,You like her so much bro,0
81,Love your cheugy style,1
82,Definitely hang out with the rent-free guy next time,1
83,Your bitter attitude is a total watermelon,1
84,"He thought he could get away with it, but we have him caught in 4k",0
85,Damn you snderstood the assignment,0
86,That TikTok of the cat falling sent me,1
87,"Let him cook, he’s about to burn it down",1
88,Bro thinks he has rizz,1
89,That's your skill issue,0
90,That’s a huge GREEN flag for u,1
91,"Slay, queen of lateness!",1
92,"Excuse you, pookie",1
93,"It's my pleasure to carry you for this project, queen",1
94,Don't cry for being clipped sis,1
95,"Rachel? Nah, he was curved",1
96,I lowkey want ice cream right now,1
97,I gotchu fam,0
98,"Stop getting distracted by side quests, we have work to do!",0
99,Just vibe with the mood,0
100,Don’t emo plz,0
